source_type,source_id,frame_number,class_id,class_name,confidence,x_min,y_min,x_max,y_max,width,height,area_pixels,frame_width,frame_height,bbox_area_ratio,center_x,center_y,center_x_norm,center_y_norm,position_region,dominant_color_name,dom_r,dom_g,dom_b,timestamp_sec,ingestion_date,detection_id
image,12.jpeg,0,0,person,0.594080924987793,424,392,459,491,34,98,3410,720,1280,0.003700874848618696,442.0437316894531,441.9999084472656,0.6139496273464626,0.3453124284744263,middle-center,blue,98,98,99,0.0,2025-11-21T11:36:24.732092,79bbe053-8a21-4253-8fba-690baf2d004d
image,13.jpeg,0,0,person,0.8904088735580444,166,326,265,592,98,265,26249,720,1280,0.02848228843219355,216.2180633544922,459.40875244140625,0.30030286577012805,0.35891308784484866,middle-left,red,126,119,109,0.0,2025-11-21T11:36:24.761088,19f00f0a-cf4c-45e6-8fe1-84d231fe162d
image,13.jpeg,0,0,person,0.8747848272323608,464,157,720,1069,255,912,232786,720,1280,0.25258929608048575,592.4181823730469,613.352294921875,0.8228030310736762,0.47918148040771485,middle-right,red,97,96,89,0.0,2025-11-21T11:36:24.765589,e907c1a6-66f4-4b68-a1a0-2f724244a5d8
image,13.jpeg,0,0,person,0.7984287738800049,277,348,349,590,72,241,17479,720,1280,0.01896612977630866,313.33441162109375,469.2142639160156,0.4351866828070747,0.3665736436843872,middle-center,red,114,106,102,0.0,2025-11-21T11:36:24.766101,5ec53725-4292-4d7f-a882-9343a963b5a7
image,13.jpeg,0,0,person,0.6701124310493469,351,356,386,459,35,103,3609,720,1280,0.003916706119295365,369.39947509765625,408.3846435546875,0.5130548265245226,0.3190505027770996,top-center,red,98,97,96,0.0,2025-11-21T11:36:24.766367,7228762e-7927-4af4-98b4-81c2d9565d79
image,13.jpeg,0,9,traffic light,0.27922043204307556,573,131,594,174,21,42,922,720,1280,0.0010012707724429977,584.1153564453125,153.03839111328125,0.8112713283962674,0.11956124305725098,top-right,green,115,126,122,0.0,2025-11-21T11:36:24.766589,a6cda95f-88f6-453e-9914-6b39dcaa4fac
image,14.jpeg,0,0,person,0.8081063628196716,37,397,102,553,65,156,10219,720,1280,0.011088419834959496,70.1120376586914,475.3563232421875,0.09737783008151585,0.371372127532959,middle-left,blue,54,62,77,0.0,2025-11-21T11:36:24.792080,8f90943a-6f6a-4893-ac99-67a621b0b253
image,14.jpeg,0,0,person,0.6865828037261963,358,441,479,691,120,249,30135,720,1280,0.03269922942049258,418.9613037109375,566.2064208984375,0.5818906995985244,0.4423487663269043,middle-center,blue,48,51,58,0.0,2025-11-21T11:36:24.792972,e29a0e80-5d06-48f1-a013-654b411be948
image,15.jpg,0,0,person,0.9389174580574036,613,260,2974,2141,2360,1880,4439694,3840,2160,0.5352641250052559,1793.760498046875,1201.072021484375,0.46712512969970704,0.5560518617983218,middle-center,blue,85,91,109,0.0,2025-11-21T11:36:25.038032,b725acf9-d5a2-489a-a729-37aed33c8ff2
image,15.jpg,0,41,cup,0.7429269552230835,1962,1425,2410,2111,448,685,307361,3840,2160,0.03705655770738506,2186.6744995117188,1768.58154296875,0.5694464842478434,0.8187877513744213,bottom-center,blue,71,85,121,0.0,2025-11-21T11:36:25.043468,1f23233c-0b15-417b-9b17-49e2eef4139a
image,15.jpg,0,62,tv,0.6520443558692932,2562,540,2871,833,309,293,90777,3840,2160,0.010944474591880055,2716.89453125,687.3714294433594,0.7075246175130209,0.3182275136311849,top-right,green,98,101,100,0.0,2025-11-21T11:36:25.045262,f3089c11-c214-467e-a833-dd1927de1bc3
image,15.jpg,0,56,chair,0.6164024472236633,3019,559,3468,1402,449,842,379335,3840,2160,0.045733954911896336,3244.0023193359375,980.52978515625,0.8447922706604004,0.453948974609375,middle-right,red,112,110,104,0.0,2025-11-21T11:36:25.051162,240728c4-06aa-4202-93b0-54e2bee6adda
image,15.jpg,0,62,tv,0.2864459455013275,0,5,1088,876,1087,871,947056,3840,2160,0.1141802128315774,544.4781799316406,440.73101806640625,0.14179119269053142,0.2040421379937066,top-left,blue,180,194,207,0.0,2025-11-21T11:36:25.065716,20242c4d-f0ba-453f-abbe-0896dc452310
image,16.jpg,0,0,person,0.9292371869087219,614,264,2979,2139,2364,1875,4433616,3840,2160,0.5345313663317858,1797.2182006835938,1202.2176818847656,0.4680255730946859,0.556582260131836,middle-center,blue,83,89,108,0.0,2025-11-21T11:36:25.205143,fc0dcfe8-1004-4458-b652-fd5e92451ea7
image,16.jpg,0,41,cup,0.868277370929718,2001,1314,2441,1896,440,582,256173,3840,2160,0.030885055590274366,2221.62744140625,1605.7833862304688,0.578548812866211,0.7434182343659578,bottom-center,blue,73,92,127,0.0,2025-11-21T11:36:25.209596,63995c27-2607-4196-8d76-daf78a7fec67
image,16.jpg,0,62,tv,0.6875371932983398,2559,542,2875,839,316,297,93952,3840,2160,0.01132723497454994,2717.4051513671875,691.0105590820312,0.7076575915018718,0.31991229587131076,top-right,green,95,98,97,0.0,2025-11-21T11:36:25.211265,b13d12bb-5013-4377-8126-ef7a43362ba9
image,16.jpg,0,56,chair,0.6324957013130188,3022,561,3465,1400,443,838,371841,3840,2160,0.044830439635509346,3244.1298828125,980.8539123535156,0.8448254903157552,0.454099033496998,middle-right,red,109,106,100,0.0,2025-11-21T11:36:25.217216,e6f5a928-3d16-4c54-8e88-4a3c3d822179
image,17.jpg,0,0,person,0.9288271069526672,582,253,2909,2139,2326,1886,4389436,3840,2160,0.5292048669364562,1746.12890625,1196.3809204101562,0.4547210693359375,0.5538800557454427,middle-center,blue,80,87,106,0.0,2025-11-21T11:36:25.348953,a6752a88-e78c-4ceb-9c27-98c776a4f66f
image,17.jpg,0,41,cup,0.8518046736717224,2138,1230,2566,1818,428,588,252293,3840,2160,0.03041728943528142,2352.667236328125,1524.5890502929688,0.6126737594604492,0.7058282640245226,bottom-center,blue,74,93,129,0.0,2025-11-21T11:36:25.353393,efbdbf79-64d8-4993-b506-388dd56efaba
image,17.jpg,0,56,chair,0.7278091907501221,3021,550,3470,1401,448,850,381647,3840,2160,0.04601262755278084,3246.238037109375,975.7681884765625,0.8453744888305664,0.45174453170211226,middle-right,red,110,107,101,0.0,2025-11-21T11:36:25.359384,3d515583-dcb6-420d-ab26-37ad90ad913a
image,17.jpg,0,62,tv,0.6471540927886963,2565,538,2878,834,312,296,92632,3840,2160,0.011168104799968812,2722.389404296875,686.5452270507812,0.7089555740356446,0.31784501252350983,top-right,green,95,99,98,0.0,2025-11-21T11:36:25.361012,dddafa9d-f536-4a34-b6c6-ae0f29bc41ad
image,17.jpg,0,62,tv,0.35701873898506165,1,5,1077,883,1075,877,943697,3840,2160,0.11377528739982547,539.2749786376953,444.6245880126953,0.1404361923535665,0.20584471667254411,top-left,blue,176,191,204,0.0,2025-11-21T11:36:25.375511,445f7047-6d0c-4d6c-a93f-7b2ecd8b3ff5
image,18.jpg,0,0,person,0.933138370513916,696,225,3107,2139,2410,1913,4612967,3840,2160,0.5561544755797989,1902.0452880859375,1182.0380554199219,0.4953242937723796,0.5472398404721861,middle-center,blue,83,88,105,0.0,2025-11-21T11:36:25.508811,fcb09b67-3291-4056-a1cf-ee8e7c1fbfc2
image,18.jpg,0,0,person,0.8703320026397705,2759,3,3314,2051,554,2048,1135504,3840,2160,0.13690010858602666,3037.0125732421875,1027.2176513671875,0.7908886909484864,0.475563727484809,middle-right,red,84,79,80,0.0,2025-11-21T11:36:25.526522,f70aa858-8622-4804-b760-eec809da2fca
image,18.jpg,0,41,cup,0.7694358825683594,2168,1451,2661,2136,492,684,336835,3840,2160,0.04060998914123047,2414.9967041015625,1793.8531494140625,0.6289053916931152,0.8304875691731771,bottom-center,blue,84,99,131,0.0,2025-11-21T11:36:25.532108,9017e0c7-30fe-4525-b162-1ef1ce8e8426
image,18.jpg,0,45,bowl,0.5672023296356201,2472,1165,2708,1286,235,121,28534,3840,2160,0.0034402454561657378,2590.34716796875,1225.7216796875,0.674569574991862,0.5674637405960649,middle-right,green,89,90,87,0.0,2025-11-21T11:36:25.532866,628553b7-a492-4708-afd6-e989c3346cbe
image,18.jpg,0,62,tv,0.4798116683959961,2566,540,2839,839,273,299,81862,3840,2160,0.009869590862916444,2702.9608154296875,690.0243530273438,0.7038960456848145,0.3194557189941406,top-right,green,94,97,96,0.0,2025-11-21T11:36:25.534330,bb407e40-93c4-472b-b418-b4923df62afd
image,18.jpg,0,62,tv,0.3538419008255005,1,4,1079,871,1078,866,934902,3840,2160,0.11271494859945422,540.304443359375,437.9037322998047,0.14070428212483724,0.20273320939805772,top-left,blue,187,198,207,0.0,2025-11-21T11:36:25.548533,085a004f-1959-4474-848f-9402edb67ce1
image,18.jpg,0,56,chair,0.2538257837295532,3223,556,3467,1385,244,828,202775,3840,2160,0.024447229083916344,3345.3863525390625,970.7974853515625,0.8711943626403809,0.449443280255353,middle-right,red,125,120,107,0.0,2025-11-21T11:36:25.551851,e31b3309-e86b-4f01-b583-7c74235cf929
image,2.jpeg,0,0,person,0.8401163816452026,249,424,303,569,54,145,7866,720,1280,0.008535490607003643,276.5535888671875,497.4273986816406,0.38410220675998263,0.38861515522003176,middle-center,blue,77,97,114,0.0,2025-11-21T11:36:25.577702,c8bb21a0-9bd2-414d-a8d5-93effe55a67e
image,2.jpeg,0,0,person,0.8205207586288452,469,420,534,605,64,185,12030,720,1280,0.01305350272992655,502.10963439941406,513.1390991210938,0.6973744922214085,0.4008899211883545,middle-right,blue,84,89,96,0.0,2025-11-21T11:36:25.578164,6db8e265-4424-4a39-9a85-44eac5846d9d
image,2.jpeg,0,0,person,0.7900412082672119,414,428,470,599,55,171,9572,720,1280,0.010386447562836515,442.6683349609375,514.2268218994141,0.6148171318901909,0.4017397046089172,middle-center,blue,87,92,99,0.0,2025-11-21T11:36:25.578544,f23b2d8f-1a25-4462-9470-5bd79c4644c5
image,2.jpeg,0,0,person,0.7773847579956055,371,462,417,605,45,142,6521,720,1280,0.007076185110409926,394.83203125,533.73779296875,0.5483778211805556,0.41698265075683594,middle-center,blue,112,123,133,0.0,2025-11-21T11:36:25.578949,9a2c77a1-cf96-40de-8dc3-eb3b01fc933f
image,20.jpg,0,0,person,0.933669924736023,700,228,3116,2138,2415,1910,4614447,3840,2160,0.556332892095406,1908.4187622070312,1183.4226684570312,0.49698405265808104,0.5478808650264033,middle-center,blue,82,88,106,0.0,2025-11-21T11:36:25.719545,c080db55-1eea-4e57-bb94-85cfe1567d0b
image,20.jpg,0,0,person,0.7983831167221069,2646,2,3054,1506,407,1503,613501,3840,2160,0.07396570639761328,2850.6708984375,754.8846817016602,0.7423622131347656,0.3494836489359538,middle-right,red,83,77,79,0.0,2025-11-21T11:36:25.729571,70d93696-8b1a-498d-bb98-ff0714ac8c27
image,20.jpg,0,56,chair,0.6619651317596436,3022,547,3473,1396,451,849,382943,3840,2160,0.04616895567021228,3247.9461669921875,971.7171325683594,0.8458193143208822,0.44986904285572193,middle-right,red,116,114,105,0.0,2025-11-21T11:36:25.735976,9c14b94b-a292-4a3b-871f-19c5a4556d64
image,20.jpg,0,45,bowl,0.5958669781684875,2475,1164,2712,1287,236,122,29018,3840,2160,0.003498622309599779,2593.6146240234375,1225.9745483398438,0.6754204750061035,0.5675808094165943,middle-right,green,85,88,87,0.0,2025-11-21T11:36:25.736668,b4f722a0-b294-47f2-9efe-fe2a5818eade
image,20.jpg,0,41,cup,0.526836097240448,2070,1520,2557,2107,486,586,285383,3840,2160,0.03440670921564976,2314.055419921875,1813.9033203125,0.6026185989379883,0.8397700557002314,bottom-center,blue,66,80,115,0.0,2025-11-21T11:36:25.741154,a4bac461-2cd1-42b9-9a6a-80d058872d91
image,20.jpg,0,62,tv,0.45064079761505127,2566,539,2674,804,107,265,28629,3840,2160,0.003451632445194488,2620.8226318359375,671.7324829101562,0.6825058937072754,0.3109872606065538,top-right,blue,110,133,157,0.0,2025-11-21T11:36:25.741833,37d43ac9-8daa-47f7-82e5-8709eac25275
image,20.jpg,0,62,tv,0.34733453392982483,1,5,1074,871,1073,866,929577,3840,2160,0.11207294206620173,538.0195007324219,438.7901916503906,0.14010924498240154,0.20314360724555122,top-left,blue,182,196,205,0.0,2025-11-21T11:36:25.756061,ed922bed-fd3c-4a86-948b-f7406985dc01
image,21.jpg,0,0,person,0.9276808500289917,703,232,3135,2140,2432,1908,4640582,3840,2160,0.5594838096876719,1919.4498291015625,1186.1660461425781,0.4998567263285319,0.5491509472882307,middle-center,blue,79,85,103,0.0,2025-11-21T11:36:25.890125,226c7f09-1d2d-401c-b4e2-35deda8ae2e4
image,21.jpg,0,0,person,0.823016345500946,2643,3,3057,1490,414,1487,616193,3840,2160,0.07429032338857522,2850.609130859375,747.4142761230469,0.7423461278279623,0.34602512783474393,middle-right,red,85,78,79,0.0,2025-11-21T11:36:25.900016,e6870d52-5821-4c0b-9bb4-99dde51d56ca
image,21.jpg,0,62,tv,0.6225796937942505,2566,540,2673,802,106,262,28075,3840,2160,0.003384866847413776,2620.1689453125,671.2384948730469,0.6823356628417969,0.3107585624412254,top-right,blue,109,133,158,0.0,2025-11-21T11:36:25.900695,becb938a-4870-4d47-92f4-408d13910126
image,21.jpg,0,56,chair,0.5022411346435547,3020,550,3473,1394,453,844,382662,3840,2160,0.046135060799618564,3247.34130859375,972.4056396484375,0.8456617991129557,0.4501877961335359,middle-right,red,116,112,103,0.0,2025-11-21T11:36:25.906552,4be554cf-dc28-444b-97f6-69bde687f641
image,21.jpg,0,45,bowl,0.4914168119430542,2477,1164,2711,1286,234,122,28823,3840,2160,0.003475091052489545,2594.3580322265625,1225.5210571289062,0.6756140708923339,0.567370859781901,middle-right,green,85,88,86,0.0,2025-11-21T11:36:25.907214,b44fd690-8e7d-451e-ab89-7b5726776d4e
image,21.jpg,0,62,tv,0.38845714926719666,3,13,1082,861,1078,848,914986,3840,2160,0.11031376516801646,543.3200073242188,437.16925048828125,0.14148958524068198,0.20239317152235242,top-left,blue,182,196,206,0.0,2025-11-21T11:36:25.920935,e2588050-ddf3-4c59-8604-55150fd6125a
image,22.jpg,0,0,person,0.9016528129577637,682,229,3093,2137,2410,1907,4598275,3840,2160,0.5543831382953175,1887.7560424804688,1183.2760314941406,0.49160313606262207,0.5478129775435836,middle-center,blue,81,87,106,0.0,2025-11-21T11:36:26.056823,88287857-ec15-4002-ace1-f18c61b1e825
image,22.jpg,0,41,cup,0.8617779612541199,2341,1383,2829,2087,487,704,343672,3840,2160,0.041434306028402514,2585.19287109375,1735.42431640625,0.6732273101806641,0.803437183521412,bottom-right,blue,76,94,131,0.0,2025-11-21T11:36:26.062655,d26eacc5-78f4-4bea-a4c6-9da31583c759
image,22.jpg,0,0,person,0.6807125806808472,2650,6,3054,1491,403,1485,599343,3840,2160,0.07225884827151915,2852.4949951171875,749.2263488769531,0.7428372383117676,0.3468640504059968,middle-right,red,83,77,78,0.0,2025-11-21T11:36:26.072240,fb5a67ca-abfa-48b3-9577-08eb46fb4153
image,22.jpg,0,56,chair,0.62397700548172,3023,545,3471,1396,448,851,381642,3840,2160,0.04601203249104861,3247.357177734375,970.77685546875,0.8456659317016602,0.44943372938368054,middle-right,red,115,112,102,0.0,2025-11-21T11:36:26.078314,f894da80-8b22-4512-b2a2-aad1d0bad391
image,22.jpg,0,62,tv,0.4747593402862549,2566,539,2675,815,109,276,30168,3840,2160,0.0036371570475899648,2621.1424560546875,677.4766845703125,0.6825891812642415,0.31364661322699655,top-right,blue,106,127,151,0.0,2025-11-21T11:36:26.079075,2290a089-1896-4291-9783-dc44805f5c50
image,22.jpg,0,45,bowl,0.41027137637138367,2471,1165,2711,1286,240,121,29112,3840,2160,0.003509952669006048,2591.4466552734375,1225.714111328125,0.674855899810791,0.5674602367259838,middle-right,green,84,85,84,0.0,2025-11-21T11:36:26.079718,391f84c2-e157-4589-b2ff-032d67d016f6
image,22.jpg,0,62,tv,0.30946028232574463,0,3,1077,867,1076,864,930181,3840,2160,0.11214566581912516,539.1006011962891,435.5221252441406,0.14039078156153362,0.201630613538954,top-left,blue,181,195,205,0.0,2025-11-21T11:36:26.093812,3eb5a9f8-0deb-4a07-aada-4cbb33e2e3d8
image,23.jpg,0,0,person,0.9251769185066223,671,239,3155,2140,2483,1900,4721511,3840,2160,0.5692408171895011,1913.80126953125,1190.3932800292969,0.498385747273763,0.5511080000135634,middle-center,blue,74,79,98,0.0,2025-11-21T11:36:26.230161,75bc6e32-c8d6-4247-8609-d1303bdfe01a
image,23.jpg,0,0,person,0.8498419523239136,2759,5,3261,1910,501,1905,956231,3840,2160,0.11528636634349823,3010.83544921875,957.9364013671875,0.7840717315673829,0.44348907470703125,middle-right,red,80,74,76,0.0,2025-11-21T11:36:26.245251,0d7086d2-136b-4e21-822c-8ce1654cf07e
image,23.jpg,0,56,chair,0.5419124364852905,3197,545,3470,1388,273,843,230796,3840,2160,0.027825607198562162,3333.774169921875,966.9644165039062,0.8681703567504883,0.44766871134440106,middle-right,red,121,115,104,0.0,2025-11-21T11:36:26.249066,437752fd-9e64-49c5-aa1f-6a69c018c775
image,23.jpg,0,62,tv,0.4771011471748352,0,4,1081,875,1080,870,940700,3840,2160,0.11341389986529504,541.1912536621094,440.2877655029297,0.14093522230784097,0.20383692847357857,top-left,blue,181,193,204,0.0,2025-11-21T11:36:26.263201,cabaf934-a185-40a8-97d1-9acdcfbf08ab
image,23.jpg,0,45,bowl,0.4251532256603241,2477,1164,2708,1287,231,122,28403,3840,2160,0.003424429597712501,2592.94921875,1225.75244140625,0.6752471923828125,0.5674779821325231,middle-right,red,89,88,85,0.0,2025-11-21T11:36:26.263860,447b91b5-f8d1-4baf-8d9d-badf84671e6a
image,23.jpg,0,62,tv,0.4232594668865204,2568,539,2859,833,291,293,85569,3840,2160,0.010316520288189942,2714.31787109375,686.4142456054688,0.7068536122639973,0.3177843729654948,top-right,green,95,97,96,0.0,2025-11-21T11:36:26.265359,78f6fff2-28a0-4268-bd92-4fc8e6f824ad
image,24.jpg,0,0,person,0.9255954027175903,667,226,3160,2141,2492,1914,4771526,3840,2160,0.5752708861555916,1914.1553955078125,1184.0165100097656,0.4984779675801595,0.5481557916711878,middle-center,blue,75,79,98,0.0,2025-11-21T11:36:26.399781,2bc4825e-d3d0-4865-8b69-4822931341d5
image,24.jpg,0,0,person,0.881905198097229,2736,5,3218,1907,482,1902,917335,3840,2160,0.11059691162640875,2977.3004150390625,956.8328247070312,0.7753386497497559,0.44297815958658854,middle-right,red,79,74,75,0.0,2025-11-21T11:36:26.414172,6dc915ea-098f-4f0b-b9ac-dcb988b8da3e
image,24.jpg,0,62,tv,0.4547116458415985,0,4,1080,881,1079,876,946397,3840,2160,0.1141007249688873,540.955810546875,442.92002868652344,0.14087390899658203,0.20505556883635345,top-left,blue,181,192,203,0.0,2025-11-21T11:36:26.428787,a0c05c8a-9b53-4060-9891-12c9b31533d0
image,24.jpg,0,45,bowl,0.43684887886047363,2472,1161,2706,1289,233,128,30060,3840,2160,0.0036242240724760327,2589.139892578125,1225.5302124023438,0.6742551803588868,0.5673750983344183,middle-right,other,87,87,85,0.0,2025-11-21T11:36:26.429572,0a0ca779-4def-40e7-97b4-0bcc15d4df4f
image,24.jpg,0,56,chair,0.3622342646121979,3123,553,3474,1393,350,839,294019,3840,2160,0.03544797989484828,3299.016357421875,973.7581481933594,0.8591188430786133,0.45081395749692565,middle-right,red,113,109,99,0.0,2025-11-21T11:36:26.434201,a71f2afd-fa61-4f6e-b82e-f8f8ef1c9c6a
image,24.jpg,0,62,tv,0.32941973209381104,2566,535,2851,814,285,279,79750,3840,2160,0.009615035479267437,2708.83740234375,675.18994140625,0.7054264068603515,0.31258793583622685,top-right,blue,91,94,95,0.0,2025-11-21T11:36:26.435633,452e9360-1d88-419c-9ba0-234733938d89
image,25.jpg,0,0,person,0.9341970086097717,669,229,3148,2140,2478,1911,4737907,3840,2160,0.5712175966411531,1909.2379760742188,1185.0955810546875,0.49719738960266113,0.5486553615993923,middle-center,blue,76,80,99,0.0,2025-11-21T11:36:26.570914,82f469c9-df89-4a96-bc25-0ec4ffe70c9e
image,25.jpg,0,0,person,0.8822309374809265,2690,6,3211,1913,521,1906,994201,3840,2160,0.11986413252016064,2950.899169921875,960.0426635742188,0.7684633255004882,0.44446419609917537,middle-right,red,79,74,75,0.0,2025-11-21T11:36:26.586452,ee031161-9dc8-4226-b515-64c5050e8421
image,25.jpg,0,45,bowl,0.5477406978607178,2473,1158,2706,1294,232,135,31620,3840,2160,0.003812291847813564,2590.298095703125,1226.2769165039062,0.6745567957560221,0.5677207946777344,middle-right,other,85,85,84,0.0,2025-11-21T11:36:26.587247,87a40e0a-df0f-4aac-b295-1ffb15169e83
image,25.jpg,0,62,tv,0.41226136684417725,1,6,1074,876,1073,870,934532,3840,2160,0.11267023877764182,537.9338836669922,441.60614013671875,0.14008694887161255,0.20444728710033275,top-left,blue,182,193,204,0.0,2025-11-21T11:36:26.601215,cfd3f4ca-13e0-4dec-84cd-2692903e6a52
image,25.jpg,0,56,chair,0.28686758875846863,3130,542,3473,1393,342,851,291154,3840,2160,0.0351025100584849,3301.994384765625,968.2916870117188,0.8598943710327148,0.4482831884313513,middle-right,red,114,109,100,0.0,2025-11-21T11:36:26.605824,14642afb-0f46-40b0-a7d7-54317cd3778b
image,26.jpg,0,0,person,0.9316166639328003,675,231,3145,2140,2469,1909,4715855,3840,2160,0.5685589821313408,1910.7727661132812,1185.9930419921875,0.49759707450866697,0.5490708527741609,middle-center,blue,76,80,98,0.0,2025-11-21T11:36:26.740638,95ff81bb-87e0-48e5-8c3f-0205cfa94fdd
image,26.jpg,0,0,person,0.8793495893478394,2746,9,3220,1903,473,1893,897392,3840,2160,0.10819260321764482,2983.62353515625,956.91650390625,0.7769852956136067,0.4430168999565972,middle-right,red,82,76,76,0.0,2025-11-21T11:36:26.755059,a6078bb3-5317-4ef4-8454-8074e814adb1
image,26.jpg,0,45,bowl,0.5744588971138,2472,1160,2708,1291,235,131,30925,3840,2160,0.0037284735360263305,2590.54052734375,1225.5791015625,0.6746199289957683,0.5673977322048611,middle-right,red,87,86,84,0.0,2025-11-21T11:36:26.755970,e1749d0b-ad17-4b53-8e29-9719c1f260cc
